SC,AIF,Nl,RW,Economic_Impact,Environmental_Impact,Social_Impact,EQ0,EQ1,EQ2,EQ3,EQ4,F0,F1,F2,F3
1,25000.0,25,1537.5541112324956,2141715.0456603523,61904.7619047619,0.638169735683381,0,0,1,1,0,0.9292743115243488,0.0,0.0,0.07072568847565129
4,193131.388408662,181,2280.887314978712,15740705.260148242,179336.2892366147,0.9241144133467296,1,1,1,1,1,0.9807729255832512,0.0,0.01922707441674872,0.0
4,196324.92713278867,183,1644.6164759802896,16841182.640809998,182301.71805187518,0.8058044767534938,1,1,1,1,1,0.9257998159364247,0.05205918440520914,0.022140999658366124,0.0
1,25000.0,25,2687.6079000014083,1657838.9097829051,61904.7619047619,0.999741149126331,1,1,1,1,1,0.8864901363154347,0.0,0.06234709874135744,0.051162764943207796
4,191062.35434888516,186,2670.6233961607927,14315861.377213866,177415.04332396478,0.9965830041206383,1,1,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
1,25749.728605948196,25,1606.479112455236,2200322.9531252515,63761.23273853839,0.6123494749147639,1,1,1,0,1,0.9117337836833472,0.06619550234761216,0.022070713969040593,0.0
1,36928.76458945678,25,2661.17390013605,2980539.2920600288,91442.655173893,0.9948259390360823,1,1,1,1,1,0.8918121526203948,0.040558563331642095,0.0,0.06762928404796309
4,239239.5542947757,175,2155.6941061611747,20505632.494560122,222151.01470229172,0.9008356463668976,1,1,1,1,1,0.9228520128974547,0.05823511730184491,0.018912869800700453,0.0
1,40853.85009823113,25,2609.4632637821774,3510749.600309372,101161.91452895329,0.9852107221610594,1,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,50659.84863306802,30,2025.4062111004218,4658067.969757918,125443.43471045415,0.8766095595203462,1,1,1,1,1,0.9482935168211634,0.0344926752287354,0.017213807950101138,0.0
1,42288.74666999289,26,2216.0256410681304,3705050.0419385657,104714.99175426812,0.9120538566508238,1,1,1,1,1,0.9087670475319736,0.06842041464212446,0.022812537825901983,0.0
4,213949.95327498124,175,1606.479112455236,19439605.105366036,198667.8137553397,0.7646222021874911,0,1,1,1,1,0.9439054533588022,0.056094546641197826,0.0,0.0
4,190707.4377155195,175,2670.6233961607927,15029551.395833895,177085.4778786967,0.9511284586660929,1,0,1,1,1,0.977764700776518,0.022235299223481966,0.0,0.0
1,51731.278056228446,25,2025.4062111004218,4852661.241486184,128096.49804399423,0.8311550140658008,1,0,1,1,1,0.9271193640434026,0.055013909544057014,0.017866726412540425,0.0
1,40743.24084311085,25,2186.6501372856956,3472770.0894654356,100888.02494484592,0.9065916952929891,1,1,1,1,1,0.8911267952914229,0.0,0.0,0.10887320470857714
4,182066.25267287766,177,2687.6079000014083,13533231.137038201,169061.52033910068,0.999741149126331,1,1,1,1,1,0.9647285121327003,0.0,0.024711074100948055,0.010560413766351614
4,178471.8698513965,176,1606.479112455236,15125153.225682884,165723.87914772533,0.5100767476420366,0,1,1,0,0,0.9091045827006873,0.021954786840176124,0.0,0.06894063045913655
1,52288.13529852871,28,2661.17390013605,4625590.776291862,129475.38264397587,0.9948259390360823,1,1,1,1,1,0.9568032649021309,0.0,0.043196735097869206,0.0
4,238443.4209308235,179,1865.5605695387846,21901470.462522805,221411.74800719324,0.8468874246074349,1,1,1,1,1,0.988608242894182,0.0,0.0,0.011391757105817971
1,52279.436774483125,29,1845.8756606317183,5107308.639422685,129453.84344157728,0.8432271589125546,1,1,1,1,1,1.0,0.0,0.0,0.0
4,192179.8321950537,175,1537.5541112324956,17403518.51987812,178452.70132397843,0.4722606447742901,0,0,0,1,0,0.9449241695975624,0.04561632180061866,0.0,0.009459508601818871
1,32753.63056856858,25,2346.498792524292,2787212.5195001066,81104.22807455079,0.9363143905772207,1,1,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
1,40853.85009823113,25,2360.7532718712787,3592862.5978826396,101161.91452895329,0.8707830891947677,1,1,1,1,0,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,48459.82165002405,25,2155.6941061611747,4474880.313910622,119995.74884767862,0.8667447372759884,0,1,1,1,1,0.9297558944957909,0.05414895562810103,0.016095149876108165,0.0
4,175343.09614856986,178,1537.5541112324956,15050100.8509759,162818.5892808149,0.49726064477429005,0,1,1,0,0,0.9117337836833472,0.06619550234761216,0.022070713969040593,0.0
1,40236.54044786248,25,1915.7125930882764,3656916.7791617773,99633.33825184996,0.8221219196722513,0,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
4,188793.1130780665,175,1744.2909198351585,16830099.65314962,175307.89071534746,0.7561563967373264,1,1,1,1,0,0.988608242894182,0.0,0.0,0.011391757105817971
1,29019.24032288014,29,2636.28030557322,2188133.011945974,71857.16651379845,0.9901971561125362,1,1,1,1,1,0.9807729255832512,0.0,0.01922707441674872,0.0
